product_id,user_id,rating,review_text
101,1,5,"Great product! Really satisfied with the quality and performance."
102,2,4,"Good product, but the delivery was late."
103,3,2,"Not as expected. The product stopped working within a week."
104,4,3,"Average quality. It does the job but nothing special."
105,5,1,"Very disappointed. The product broke after just one use."
106,6,5,"Excellent! Exceeded my expectations in every way."
107,7,4,"The product is good but a bit expensive."
108,8,3,"It’s okay, does what it says, but could be better."
109,9,4,"Happy with the purchase. Would recommend to others."
110,10,5,"Absolutely love it! Will definitely buy again."
111,11,1,"Terrible quality. Would not recommend to anyone."
112,12,2,"Not worth the money. Very low quality materials."
113,13,4,"Pretty decent. Matches the description well."
114,14,5,"Fantastic! High quality and fast shipping."
115,15,3,"It's fine. Not great, not terrible."
